UC_SEQ,MAIN_TITLE,GUGUN_NM,LAT,LNG,PLACE,TITLE,SUBTITLE,ADDR1,ADDR2,CNTCT_TEL,HOMEPAGE_URL,USAGE_DAY_WEEK_AND_TIME,RPRSNTV_MENU,MAIN_IMG_NORMAL,MAIN_IMG_THUMB,ITEMCNTNTS
109,물꽁식당,Jung-gu,35.104504,129.0244,Mulkkong Sikdang,Mulkkong Sikdang (물꽁식당),Unique spicy taste and think scent of sweet herb,"3, Heukgyo-ro 59beon-gil, Jung-gu",,051-257-3230,,10:00-22:00,"Braised Monkfish, Steamed Monkfish",https://www.visitbusan.net/uploadImgs/files/cntnts/20230525151631604_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230525151631604_thumbL,"Handed down to the third generation, this 60-year specialty restaurant uses fresh monkfish tosteam, braise, and make soup. The mild-tasting monkfish is their signature dish. Despite theold history, the restaurant is very clean"
112,부산명물횟집,Jung-gu,35.09714,129.0312,Busan Myeongmul Hoetjip,Busan Myeongmul Hoet-jip (부산명물횟집),Taste of sashimi cling to the tongue,"55, Jagalchihaean-ro, Jung-gu",,051-245-7617,,10:30-15:30 / 16:30-21:30,"Set meal with raw fish,  Saengseonhoe (sea bream, flounder)",https://www.visitbusan.net/uploadImgs/files/cntnts/20230601142624554_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230601142624554_thumbL,"This is a very well-known restaurant specializing in raw fish (Korean-style sashimi) since 1946,frequented by numerous celebrities. Their popular dish is a raw fish set menu with a plate ofsliced halibut, rich and nourishing meat and bone broth, and six side dishes."
122,원조한양족발,Jung-gu,35.099903,129.02715,,Wonjo Hanyang Jokbal (원조한양족발),Trotters along with the history of Busan for long,"13, Gwangbok-ro, Jung-gu, Busan",,-3254,,10:00a.m. ~ 01:00a.m.,"Trotters, Nengche Trotters",https://www.visitbusan.net/uploadImgs/files/cntnts/20191218102958937_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191218102958937_thumbL,"This jokbal (braised pork trotters) joint has been in operation for 35 years, using domestically sourced pork. They are famous for the fresh and tasty jokbal, braised twice at the restaurant daily. The signature dishes include thinly sliced jokbal that has great taste and texture, and naengchae jokbal (jokbal with vegetables and sauce)"
124,이재모피자,Jung-gu,35.102104,129.0306,Lee Jae-mo Pizza,Lee Jaemo Pizza (이재모피자),,"31, Gwangbokjungang-ro, Jung-gu",,051-245-1478,,11:00a.m. ~ 21:30p.m.(Last order 20:30) ,"Cheese Crust Pizza, Oven-baked Spaghetti",https://www.visitbusan.net/uploadImgs/files/cntnts/20230607111545199_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230607111545199_thumbL,"This is a 30-year-old pizzeria, which has a very long tradition considering when pizzaactually became popular in Busan. Characterized by generous toppings and Imsilcheese, the pizza is as tasty as ever."
127,모모스커피,Geumjeong-gu,35.21928,129.08643,Momos Coffee,Momos Coffee (모모스커피),,"18-1, Osige-ro, Geumjeong-gu",,051-512-7034,,08:00-18:00,"Today’s drip coffee, Americano chocolat",https://www.visitbusan.net/uploadImgs/files/cntnts/20230601213643019_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230601213643019_thumbL,"The winner of the 2019 World Barista Championship (WBC) is from this cafe, Momos Coffee,one of the most famous cafes in Busan, the city of cafes. It is a space full of love for coffee,offering high-quality beans that they roast themselves"
130,배비장보쌈,Geumjeong-gu,35.245174,129.09143,Baebijang Bossam Guseo Branch,Baebijang Bossam Guseo Branch (배비장보쌈),,"239, Geumjeong-ro, Geumjeong-gu",,051-515-2106,,11:30-22:00,"Baebijang Bossam, Assorted Bossam",https://www.visitbusan.net/uploadImgs/files/cntnts/20230608145054469_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230608145054469_thumbL,"It is one of the most famous bossam restaurants in Busan that have been operating for more than 30 years. Bossam kimchi and muchae (shredded radish) is made every day. The steamed egg custard served as a side dish is very popular here, and it’s also a great place to entertain guests."
138,장수장꼬리곰탕,Buk-gu,35.19576,128.99043,Jangsujang Kkorigomtang,Jangsujang Kkorigomtang (장수장꼬리곰탕),,"581, Sasang-ro, Buk-gu",,051-303-7096,,10:30-20:30,"Oxtail soup, Hanwoo knee soup",https://www.visitbusan.net/uploadImgs/files/cntnts/20230607170754019_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230607170754019_thumbL,"Opened in 1983 and has been operating for more than 40 years, the restaurant makes kimchi andjeotgal from scratch and preserves them in pots. It uses carefully selected ingredients, such asHanwoo bones and cartilage and the tails are from Australia.The steady and unchanging quality keeps attracting its customers."
141,거대갈비,Haeundae-gu,35.161617,129.16696,Geodae Galbi,Geodae-Galbi (거대갈비),,"22, Dalmaji-gil, Haeundae-gu",,051-746-0037,,11:30?15:00 / 17:00-21:30,"Sirloin (100g), Beef ribs (100g)",https://www.visitbusan.net/uploadImgs/files/cntnts/20191219093030634_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219093030634_thumbL,"This Korean charcoal barbecue restaurant uses only the highest-grade meat and the bestraw ingredients. The interior is clean, and the service is nice. The price is high as they servethe highest-grade Korean beef, but with the staff’s grilling service, it’s quite satisfactory."
146,금수복국 본점,Haeundae-gu,35.16243,129.1645,Geumsubokguk Haeundae Branch (금수복국),Geumsubokguk Haeundae Branch (금수복국),,"23, Jungdong 1-ro 43beon-gil, Haeundae-gu",,-4311,,24hours,"Pufferfish Soup (Mild, Spicy), Live Pufferfish Soup (Mild, Spicy)",https://www.visitbusan.net/uploadImgs/files/cntnts/20200819172845727_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819172845727_thumbL,"This 46-year-old restaurant, perhaps one of the most famous restaurants in Busan, specializes in pufferfish dishes. The best ingredients are sourced locally, and all side dishes, pastes, kimchi, and seasoning are made from scratch. It is very popular among foreign tourists."
152,다온,Haeundae-gu,35.158123,129.14853,Daon (다온),Daon (다온),,"154, Haeundaehaebyeon-ro, Haeundae-gu",,-1047,,11:30a.m. ~ 22:00p.m.(break time 15:00~17:30) / (Last order 21:30),"Daon Set (1 serving) , Songari Set (1 serving)",https://www.visitbusan.net/uploadImgs/files/cntnts/20191219100305084_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219100305084_thumbL,"This is a traditional Korean restaurant with an impressive interior that utilizes traditional Korean motifs. There are private rooms decorated with local accessories, and it is a popular venue for formal gatherings. Korean cuisine made with medicinal herbs and seasonal ingredients is popular as a course meal."
154,동백섬횟집,Haeundae-gu,35.160427,129.15468, Dongbaekseom Hoejip, Dongbaekseom Hoejip (동백섬횟집),,"17, Haeundaehaebyeon-ro 209beonna-gil, Haeundae-gu",,051-741-3888,,11:30?22:00, Roughscale sole (market price),https://www.visitbusan.net/uploadImgs/files/cntnts/20200818125906889_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818125906889_thumbL,"This raw fish(sashimi) specialty restaurant is near Haeundae Grand Hotel. When you order raw fish,you can enjoy a variety of side dishes such as steamed octopus, sea urchin, abalone, grilled flounder,fried shrimp. Spicy hot pot is served after the meal. Most fish fluctuate according to market prices."
156,르꽁비브,Haeundae-gu,35.176777,129.12552,Le Convive,Le Convive (르꽁비브),French restaurant that boasts the luxury,"60, Centum buk-daero, Haeundae-gu",,-4445,,11:50a.m. ~ 22:00p.m.(Break Time 15:00~18:00) / (Last order 21:00),"Lunch, Dinner ",https://www.visitbusan.net/uploadImgs/files/cntnts/20191219101750249_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219101750249_thumbL,"Le Convive is an authentic French restaurant launched by OPS, a famous bakery in Busan. The chef, who has been teaching French cuisine in France, showcases various seasonal French courses with an authentic cooking style."
158,파니니브런치,Sasang-gu,35.12544,128.96982,Panini Brunch,Panini Brunch (파니니브런치),,"15, Eomgungnam-ro, Sasang-gu",,0507-1332-2292,,0:00-18:00,"American brunch, Americano",https://www.visitbusan.net/uploadImgs/files/cntnts/20230531123640913_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230531123640913_thumbL,"It is a brunch cafe with a pretty exterior of a renovated house and a perfect, cozy interior for the holidays. An impressive flowerbed is shown beyond the window.Popular items include American brunch,bulgogi panini, mac & cheese panini, burrito brunch, and ricotta salad."
163,문스시,Haeundae-gu,35.17031,129.16615,Moon Sushi,Moon Sushi (문스시),,"43, Jwadongsunhwan-ro, Haeundae-gu",,-4029,,am 11:30 ~ pm 22:0015:00~17:30 (break time),"Omakase Moon Sushi, Omakase Su Sushi",https://www.visitbusan.net/uploadImgs/files/cntnts/20200818130348030_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818130348030_thumbL,"This Japanese restaurant is run by a famous celebrity chef. It features elegant and satisfactory dishes, in a sophisticated interior. The Omakase Sushi Course, which consists of dishes recommended by the chef, is particularly famous."
164,할매재첩국,Sasang-gu,35.193363,128.98607,Halmae Jaecheopguk,Halmae Jaecheopguk (할매재첩국),,"20-15, Nakdong-daero 1530beon-gil, Sasang-gu",,051-301-7069,,07:00-21:00,"Shellfish Soup, Jaecheop hoe (freshwater clam served raw)",https://www.visitbusan.net/uploadImgs/files/cntnts/20230608100341246_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230608100341246_thumbL,It is a jaecheopguk (freshwater clam soup) specialty restaurant that has been in business for 30 years at the corbicula specialty town located alongside the Nakdong River. The popular way of enjoying the shellfish is making bibimbap with soybean paste and freshwater clam. and eating it with the soup.
166,예이제,Haeundae-gu,35.16123,129.16664,Yeije,Yeije (예이제),,"29, Haeundaehaebyeon-ro 298beon-gil, Haeundae-gu",,-1800,,12:00p.m. ~ 21:20p.m.15:00~17:30 (break time),"Lunch, Medium Course",https://www.visitbusan.net/uploadImgs/files/cntnts/20200818133818412_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818133818412_thumbL,"Located near Haeundae Beach, this Hanjeongsik restaurant is a favorite for family gatherings and treating guests. Using seasonal ingredients selected by the owner and vegetables grown in a farm run by an acquaintance, this restaurant presents beautiful plates that you can’t help but admire before eating."
167,합천일류돼지국밥,Sasang-gu,35.16191,128.98045,Hapcheon Illyu Dwaejigukbap,Hapcheon Illyu Dwaejigukbap (합천일류돼지국밥),,"34, Gwangjang-ro, Sasang-gu",,051-317-2478,,05:30-22:00,"Gogigukbap (meat soup with rice), Steamed Pork Set",https://www.visitbusan.net/uploadImgs/files/cntnts/20230605170838962_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230605170838962_thumbL,"In the vicinity of Sasang Intercity Bus Terminal, famous for many delicious holes in the wall, this place is especially famous for pork soup. It is open 24 hours a day, and is also a popular spot for tourists. They are known for topping off the soup with heaps of ground garlic. Steamed pork is just as famous as their soup."
169,원조석대추어탕,Haeundae-gu,35.2195,129.12512,Wonjo Seokdae Chueotang,Wonjo Seokdae Chueotang (원조석대추어탕),,"5, Bansong-ro 571beon-gil, Haeundae-gu",,-8311,,08:30a.m. ~ 21:00p.m.,"Chueotang, Braised Stingray",https://www.visitbusan.net/uploadImgs/files/cntnts/20191219104936271_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219104936271_thumbL,"When you enter the entrance, you will see a pile of firewood and a large iron pot placed on the fireplace. This famous chueotang restaurant boils the soup for a long time on strong heat, which creates tender and rich flavor. They also offer tossed shellfish and braised stingray."
174,웨이브온커피,Gijang-gun,35.32225,129.26979,Waveon Coffee,Waveon Coffee (웨이브온커피),,"286, Haemaji-ro, Jangan-eup, Gijang-gun",,051-727-1660,,10:00-24:00,"Wolnae latte, Brazilian Campo Alegre drip coffee",https://www.visitbusan.net/uploadImgs/files/cntnts/20191219110949710_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219110949710_thumbL,"The name of this coffee roastery always comes up when discussing cafes and the sea.It is known for serving a wide variety of coffee, including drip coffees using specialty beansselected by a certified Q grader. It has seats and blankets for appreciating the view of thebeach outside"
177,대티물꽁,Saha-gu,35.10239,129.00041,Daetimulkkong,DaetiMulkkong (대티물꽁),,"15, Nakdong-daero 135beonan-gil, Saha-gu",,051-203-4425,,11:30-21:30," Agujjim (braised monkfish),  Kodarijjim (Braised Dried Pollack)",https://www.visitbusan.net/uploadImgs/files/cntnts/20230525143156139_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230525143156139_thumbL,"The renovated house has a cozy d?cor, filled with props that bring out the nostalgia of the older generation.It is a beloved neighborhood hole-in-the-wall that specializes in braised monkfish, and serves generous portions at affordable prices."
184,원조 18번 완당,Seo-gu,35.105713,129.02045,Wonjo 18beon Wandang,Wonjo 18beon Wandang (원조 18번 완당),,"6, Gudeok-ro 238beon-gil, Seo-gu",,051-256-3391,,10:30-19:30," Balguksuk , Wandang(Wontons)",https://www.visitbusan.net/uploadImgs/files/cntnts/20230605135457738_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230605135457738_thumbL,"Since 1947, this famous restaurant has been operating for three generations. The founder learned how to make wontons in Japan and developed it to accommodate the Korean palate. This is a historic restaurant that played an important part in establishing the food culture in Busan."
190,원조할매복국,Haeundae-gu,35.160915,129.17152,Wonjo Halmae Bokguk,Wonjo Halmae Bokguk (원조할매복국),,"1, Dalmaji-gil 62beon-gil",,+82-51-742-2790,,"Open 07:00 / Closed 21:30(break time 15:00~17:00) (Last order 14:00, 20:30)","Pufferfish Soup , Steamed White Pufferfish Meat",https://www.visitbusan.net/uploadImgs/files/cntnts/20191219134018171_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219134018171_thumbL,"One of the 31 designated folk restaurants in Busan, it is the best-known pufferfish restaurant in the Mipo area, known as “pufferfish village.” Bokjiri, a clear broth from pufferfish, is the signature menu. You can also enjoy dishes such as pufferfish porridge, steamed pufferfish, pufferfish bulgogi, and braised pufferfish."
193,젠스시,Haeundae-gu,35.170803,129.17145,Zen Sushi,Zen Sushi (젠스시),,"28-5, Daecheon-ro 42beon-gil, Haeundae-gu",,051-746-7456,,18:00-19:30 / 20:00-22:00,"Dinner for one, Corkage per bottle",https://www.visitbusan.net/uploadImgs/files/cntnts/20230605143002609_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230605143002609_thumbL,"It is a famous Japanese restaurant in Haeundae, operated by the owner-chef who received a certificate of Master Chef. Zen Sushi is known for its strict kitchen atmosphere and attention to hygiene. A course meal consisting of 10 kinds of sushi, miso soup, egg custard, tempura, and more, is the top menu item."
198,신창국밥,Seo-gu,35.10093,129.02254,Sinchang Gukbap,Sinchang Gukbap (신창국밥),,"53, Bosu-daero, Seo-gu",,051-244-1112,,09:00-21:00,"Wangsundae Gukbap, Steamed pork",https://www.visitbusan.net/uploadImgs/files/cntnts/20230607161936819_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230607161936819_thumbL,"The famous restaurant was named Sinchang Gukbap, as it was established in 1969 at the Gukje Market in Sinchang-dong. This is the origin of clear-broth dwaejigukbap.They insist on fresh ingredients and the traditional toryeom method, and their North Korean-style sundae made from scratch is also very popular."
200,옛날 오막집,Seo-gu,35.108913,129.0199,Yennal Omakjip,Yennal Omakjip (옛날 오막집),,"14 Gudeok-ro 274beon-gil, Seo-gu",,051-243-6973,,12:00-21:30,"Tripe, Large Intestines",https://www.visitbusan.net/uploadImgs/files/cntnts/20230603135918815_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230603135918815_thumbL,"Established in 1958, Yetnal Omakjip is a longtime local favorite for grilled beef innards.Their amazing grilled meats prove their history and taste even better with pickles andtossed vegetables offered on the side."
201,평안도족발,Haeundae-gu,35.161945,129.16637,Pyeongan-do Jokbal,Pyeongan-do Jokbal (평안도족발),,"14, Dalmaji-gil, Haeundae-gu",,-7278,,12:00p.m. ~ 24:00a.m.,"Jokbal, Garlic Jokbal",https://www.visitbusan.net/uploadImgs/files/cntnts/20191219141936064_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219141936064_thumbL,"This is a long-established jokbal shop that has been operating in one place for over 30 years, a long-time local favorite. This longstanding legend is known for the balanced, clean taste of pork hocks free of meaty odor. Naengchae jokbal and garlic jokbal are also very popular."
203,한우숯불양곱창,Haeundae-gu,35.165897,129.17079,Hanwoo Sootbul Yanggopchang,Hanwoo Sootbul Yanggopchang (한우숯불양곱창),,"385, Haeundaehaebyeon-ro, Haeundae-gu",,-9679,,16:00p.m. ~ 22:00p.m.,"Special Yang, Hot Pot",https://www.visitbusan.net/uploadImgs/files/cntnts/20200819165333332_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819165333332_thumbL,"Located near Haeundae Jung-dong Station, this grilled tripe restaurant is especially known for the marinaded and grilled teugyang, stomach chamber 1. At the time of order, the special marinade is brushed on the meat, then the staff provides the grilling service. It has a very tender yet slightly chewy texture."
204,쌍둥이돼지국밥,Nam-gu,35.13177,129.0923,Ssangdungi Dwaejigukbap,Ssangdungi Dwaejigukbap (쌍둥이돼지국밥),,"35-1, UN pyeonghwa-ro, Nam-gu",,051-628-7021,,09:00-22:00,"Pork Soup, Steamed Pork Set",https://www.visitbusan.net/uploadImgs/files/cntnts/20230607155733028_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230607155733028_thumbL,"It is a famous restaurant where you can see a long line during mealtime. Ssangdungi is one of the most popular dwaejigukbap (pork soup) restaurants in Busan, home of this local dish. They are famous for the tenderness of their pork meat."
208,국이네낙지볶음,Suyeong-gu,35.168022,129.11382,Gugine Nakjibokkeum,Gugine Nakjibokkeum (국이네낙지볶음),,"410, Yeonsu-ro, Suyeong-gu",,051-754-7776,,10:30-22:30,"Nakgopsae (Small octopus, pork intestines, shrimp stir-fry), Various toppings",https://www.visitbusan.net/uploadImgs/files/cntnts/20191219143907973_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219143907973_thumbL,"It is a popular nakjibokkeum (spicy small octopus stir-fry) specialty restaurant known forgenerous portions and a relatively mild taste.It has emerged as a new rising star among Busan’s competing octopus stir-fry places.All of the side dishes can be self-refilled, and the service is always friendly."
212,베지나랑,Suyeong-gu,35.156757,129.13426,Vegenarang,Vegenarang (베지나랑),,"9F, Noble Sky, 9-32, Gwanganhaebyeon-ro 370beon-gil, Suyeong-gu",,0507-1416-5561,,11:30-15:00 / 17:00-21:00,"Bean Cutlet with Black Rice, Avocado roll",https://www.visitbusan.net/uploadImgs/files/cntnts/20230608142501309_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230608142501309_thumbL,Vegenarang is a vegan restaurant that uses flavors from clean veggie-based broth and serves simple salads as well as a la carte dishes.The vegan menu is especially popular among foreign visitors.
214,신라횟집,Suyeong-gu,35.155254,129.12456,Silla Hoetjip,Silla Hoetjip (신라횟집),,"2-4F, 16, Millaksubyeon-ro 7beon-gil, Suyeong-gu",,051-753-2800,,11:00-20:00,"Assorted raw fish (M),  Course (L)",https://www.visitbusan.net/uploadImgs/files/cntnts/20230523145317638_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230523145317638_thumbL,"A variety of mulhoe is available at this mulhoe restaurant.The sauce includes over 10 ingredients and is aged for the savory taste, and the broth is madefrom boiling Korean Dendropanax tree.Their unique presentation uses frozen stone plates to serve raw fish."
215,이층집 564-9,Nam-gu,35.13028,129.10002,Yichungjip5649,Fantastic combination of crispy pork cutlet and special sauce,Yichungjip5649 (이층집5649),"217, UN-ro, Nam-gu, Busan",,+82 51-612-5649,,,"Sirloin Tonkatsu, Fish Katsu, Hamburger Steak",https://www.visitbusan.net/uploadImgs/files/cntnts/20191219153031872_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219153031872_thumbL,"With simple and modern decor, this gyeongyangsik (western-inspired cuisine) restaurant serves fresh sirloin tonkatsu with rich broccoli soup and seasonal green salad. The crispy tonkatsu goes wonderfully with their special sauce."
218,초원복국,Nam-gu,35.137794,129.10591,Chowonbokguk,Chowonbokguk (초원복국),Swellfish in full of soup,"30, Hwangnyeong-daero, 492beon-gil, Nam-gu",,051-628-3935,,09:00-15:00 / 17:00-21:00," Bokguk (pufferfish soup), Bok suyuk (steamed pufferfish meat)",https://www.visitbusan.net/uploadImgs/files/cntnts/20230524162118804_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230524162118804_thumbL,"Chowonbokguk is a well-known restaurant specializing in pufferfish cuisine. Started by a fatherwith 50 years of experience as a Japanese restaurant chef, it is now managed by his son, who wasthe first to obtain the special cooking license for pufferfish in Busan. The place is always packedwith customers who want to taste their top-notch pufferfish dishes."
234,석화한정식,Dong-gu,35.13881,129.06189,Seokhwa Hanjeongsik,Seokhwa Hanjeongsik (석화한정식),,"21, Jobang-ro",,-5606,,Open 11:30 / Closed 21:30,"Seokhwa Hanjeongsik, Seokhwa Hometown Hanjeongsik",https://www.visitbusan.net/uploadImgs/files/cntnts/20220513092736141_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20220513092736141_thumbL,"Each dish is presented in such a delicate way that it is almost too beautiful to eat. It is a fine-dining Korean restaurant popular for formal gatherings. Their signature dishes include the Hometown Hanjeongsik served with fried mushrooms and stir-fried abalones, and Mother’s Hanjeongsik served with steamed scallops, braised beef ribs, and grilled eel."
